Skin_Concern,Skin_Type,Skin_Tone,Age,Gender,Recommended_Product
Acne,Sensitive,Dark,22,Other,Neutrogena Oil-Free Acne Wash
Tanning,Dry,Medium,59,Female,Lotus Herbals Safe Sun
Blackheads,Dry,Dark,46,Other,The Body Shop Tea Tree Cleanser
Blackheads,Sensitive,Dark,38,Female,The Body Shop Tea Tree Cleanser
Whiteheads,Sensitive,Dark,20,Female,Paula's Choice BHA Exfoliant
Dark Circles,Sensitive,Dusky,46,Male,Mamaearth Under Eye Cream
Uneven Skin Tone,Combination,Dusky,51,Male,L'Oreal Paris Glycolic Bright Serum
Dullness,Sensitive,Fair,27,Female,The Ordinary Vitamin C Suspension
Redness,Sensitive,Fair,37,Other,Aveeno Ultra-Calming Foaming Cleanser
Blackheads,Normal,Medium,52,Other,The Body Shop Tea Tree Cleanser
Dark Circles,Normal,Dusky,27,Female,Mamaearth Under Eye Cream
Dryness,Dry,Fair,38,Male,CeraVe Moisturizing Cream
Wrinkles,Dry,Dusky,30,Other,Olay Regenerist Retinol 24
Blackheads,Normal,Fair,43,Male,The Body Shop Tea Tree Cleanser
Sagging,Normal,Olive,55,Other,Pond’s Age Miracle Firming Serum
Uneven Skin Tone,Normal,Medium,34,Female,L'Oreal Paris Glycolic Bright Serum
Sagging,Dry,Medium,52,Male,Pond’s Age Miracle Firming Serum
Dark Circles,Normal,Olive,18,Male,Mamaearth Under Eye Cream
Itchy Skin,Oily,Olive,23,Male,Eucerin Itch Relief Cream
Itchy Skin,Combination,Olive,31,Other,Eucerin Itch Relief Cream
Pores,Combination,Dark,58,Male,Innisfree Super Volcanic Clay Mask
Dullness,Dry,Fair,21,Female,The Ordinary Vitamin C Suspension
Pigmentation,Dry,Fair,41,Other,Murad Rapid Age Spot Correcting Serum
Uneven Skin Tone,Normal,Fair,18,Male,L'Oreal Paris Glycolic Bright Serum
Whiteheads,Combination,Medium,41,Female,Paula's Choice BHA Exfoliant
Sunburn,Sensitive,Dusky,34,Female,Aloe Vera Gel
Sunburn,Dry,Olive,42,Other,Aloe Vera Gel
Oily Skin,Combination,Medium,26,Other,La Roche-Posay Effaclar Gel
Acne,Oily,Dark,56,Male,Neutrogena Oil-Free Acne Wash
Pigmentation,Sensitive,Dark,48,Male,Murad Rapid Age Spot Correcting Serum
Uneven Skin Tone,Dry,Dark,48,Male,L'Oreal Paris Glycolic Bright Serum
Dark Spots,Sensitive,Olive,36,Other,Minimalist Alpha Arbutin Serum
Sagging,Oily,Fair,54,Male,Pond’s Age Miracle Firming Serum
Sunburn,Normal,Dusky,29,Male,Aloe Vera Gel
Acne,Oily,Olive,18,Male,Neutrogena Oil-Free Acne Wash
Redness,Dry,Medium,37,Other,Aveeno Ultra-Calming Foaming Cleanser
Redness,Sensitive,Dark,37,Female,Aveeno Ultra-Calming Foaming Cleanser
Rosacea,Combination,Olive,42,Male,Cetaphil Redness Relief
Sagging,Dry,Olive,58,Female,Pond’s Age Miracle Firming Serum
Itchy Skin,Oily,Medium,34,Female,Eucerin Itch Relief Cream
Redness,Dry,Medium,27,Other,Aveeno Ultra-Calming Foaming Cleanser
Dullness,Sensitive,Dusky,57,Other,The Ordinary Vitamin C Suspension
Redness,Normal,Dusky,20,Female,Aveeno Ultra-Calming Foaming Cleanser
Dullness,Sensitive,Medium,37,Male,The Ordinary Vitamin C Suspension
Itchy Skin,Combination,Dark,29,Female,Eucerin Itch Relief Cream
Oily Skin,Normal,Dusky,22,Other,La Roche-Posay Effaclar Gel
Sagging,Sensitive,Olive,59,Female,Pond’s Age Miracle Firming Serum
Pores,Normal,Dusky,53,Female,Innisfree Super Volcanic Clay Mask
Uneven Skin Tone,Sensitive,Fair,18,Other,L'Oreal Paris Glycolic Bright Serum
Blackheads,Dry,Dark,36,Male,The Body Shop Tea Tree Cleanser
Pigmentation,Normal,Dark,33,Other,Murad Rapid Age Spot Correcting Serum
Whiteheads,Dry,Fair,16,Other,Paula's Choice BHA Exfoliant
Pigmentation,Dry,Medium,36,Male,Murad Rapid Age Spot Correcting Serum
Whiteheads,Combination,Dusky,46,Other,Paula's Choice BHA Exfoliant
Pores,Dry,Dark,57,Male,Innisfree Super Volcanic Clay Mask
Blackheads,Sensitive,Dark,42,Male,The Body Shop Tea Tree Cleanser
Whiteheads,Oily,Dusky,25,Female,Paula's Choice BHA Exfoliant
Dullness,Dry,Fair,27,Other,The Ordinary Vitamin C Suspension
Sagging,Oily,Olive,20,Male,Pond’s Age Miracle Firming Serum
Sagging,Dry,Medium,53,Other,Pond’s Age Miracle Firming Serum
Dark Circles,Oily,Fair,55,Male,Mamaearth Under Eye Cream
Pores,Dry,Dusky,58,Male,Innisfree Super Volcanic Clay Mask
Eczema,Dry,Medium,54,Other,CeraVe Eczema Relief Creamy Oil
Pores,Oily,Fair,59,Other,Innisfree Super Volcanic Clay Mask
Dullness,Normal,Dark,24,Other,The Ordinary Vitamin C Suspension
Whiteheads,Oily,Dark,43,Other,Paula's Choice BHA Exfoliant
Inflammation,Combination,Medium,54,Male,The Ordinary Niacinamide 10% + Zinc 1%
Tanning,Sensitive,Olive,29,Other,Lotus Herbals Safe Sun
Dullness,Sensitive,Dark,45,Other,The Ordinary Vitamin C Suspension
Eczema,Oily,Fair,44,Other,CeraVe Eczema Relief Creamy Oil
Dark Circles,Combination,Dusky,41,Female,Mamaearth Under Eye Cream
Rosacea,Sensitive,Olive,35,Other,Cetaphil Redness Relief
Tanning,Dry,Dark,59,Male,Lotus Herbals Safe Sun
Inflammation,Combination,Medium,49,Female,The Ordinary Niacinamide 10% + Zinc 1%
Dark Spots,Dry,Dusky,17,Other,Minimalist Alpha Arbutin Serum
Uneven Skin Tone,Combination,Olive,27,Female,L'Oreal Paris Glycolic Bright Serum
Redness,Dry,Olive,46,Male,Aveeno Ultra-Calming Foaming Cleanser
Rosacea,Sensitive,Olive,25,Male,Cetaphil Redness Relief
Dark Circles,Combination,Dark,26,Female,Mamaearth Under Eye Cream
Blackheads,Combination,Dark,50,Other,The Body Shop Tea Tree Cleanser
Eczema,Dry,Dark,19,Other,CeraVe Eczema Relief Creamy Oil
Whiteheads,Sensitive,Medium,28,Other,Paula's Choice BHA Exfoliant
Blackheads,Combination,Dusky,43,Female,The Body Shop Tea Tree Cleanser
Rosacea,Oily,Fair,38,Male,Cetaphil Redness Relief
Dullness,Normal,Dark,21,Other,The Ordinary Vitamin C Suspension
Dryness,Sensitive,Olive,41,Male,CeraVe Moisturizing Cream
Dark Spots,Normal,Dark,49,Other,Minimalist Alpha Arbutin Serum
Dark Spots,Sensitive,Olive,26,Female,Minimalist Alpha Arbutin Serum
Whiteheads,Normal,Dusky,17,Male,Paula's Choice BHA Exfoliant
Eczema,Combination,Fair,49,Female,CeraVe Eczema Relief Creamy Oil
Eczema,Combination,Dark,21,Male,CeraVe Eczema Relief Creamy Oil
Dullness,Combination,Fair,51,Other,The Ordinary Vitamin C Suspension
Blackheads,Dry,Fair,50,Male,The Body Shop Tea Tree Cleanser
Tanning,Oily,Fair,41,Other,Lotus Herbals Safe Sun
Sunburn,Combination,Dark,42,Other,Aloe Vera Gel
Oily Skin,Dry,Medium,47,Female,La Roche-Posay Effaclar Gel
Eczema,Dry,Olive,51,Male,CeraVe Eczema Relief Creamy Oil
Oily Skin,Dry,Medium,17,Male,La Roche-Posay Effaclar Gel
Rosacea,Dry,Fair,48,Female,Cetaphil Redness Relief
Pigmentation,Oily,Fair,56,Male,Murad Rapid Age Spot Correcting Serum
Blackheads,Normal,Fair,39,Male,The Body Shop Tea Tree Cleanser
Sunburn,Oily,Medium,31,Female,Aloe Vera Gel
Sunburn,Oily,Dusky,16,Other,Aloe Vera Gel
Tanning,Dry,Fair,26,Female,Lotus Herbals Safe Sun
Dryness,Dry,Medium,23,Other,CeraVe Moisturizing Cream
Eczema,Sensitive,Dark,27,Male,CeraVe Eczema Relief Creamy Oil
Wrinkles,Dry,Olive,38,Other,Olay Regenerist Retinol 24
Acne,Dry,Fair,58,Female,Neutrogena Oil-Free Acne Wash
Sagging,Combination,Dark,52,Other,Pond’s Age Miracle Firming Serum
Acne,Oily,Fair,60,Male,Neutrogena Oil-Free Acne Wash
Inflammation,Oily,Dark,40,Female,The Ordinary Niacinamide 10% + Zinc 1%
Sunburn,Dry,Dusky,35,Other,Aloe Vera Gel
Blackheads,Combination,Medium,48,Female,The Body Shop Tea Tree Cleanser
Wrinkles,Combination,Fair,36,Female,Olay Regenerist Retinol 24
Sagging,Combination,Dark,55,Male,Pond’s Age Miracle Firming Serum
Wrinkles,Sensitive,Fair,60,Other,Olay Regenerist Retinol 24
Itchy Skin,Oily,Medium,46,Male,Eucerin Itch Relief Cream
Tanning,Dry,Fair,32,Male,Lotus Herbals Safe Sun
Dryness,Normal,Medium,58,Other,CeraVe Moisturizing Cream
Dark Spots,Oily,Olive,28,Female,Minimalist Alpha Arbutin Serum
Inflammation,Oily,Medium,29,Male,The Ordinary Niacinamide 10% + Zinc 1%
Wrinkles,Sensitive,Fair,17,Female,Olay Regenerist Retinol 24
Eczema,Dry,Medium,32,Other,CeraVe Eczema Relief Creamy Oil
Oily Skin,Normal,Medium,24,Other,La Roche-Posay Effaclar Gel
Pores,Dry,Dark,40,Male,Innisfree Super Volcanic Clay Mask
Pores,Dry,Fair,26,Male,Innisfree Super Volcanic Clay Mask
Blackheads,Oily,Fair,43,Female,The Body Shop Tea Tree Cleanser
Inflammation,Combination,Dusky,26,Other,The Ordinary Niacinamide 10% + Zinc 1%
Sunburn,Dry,Dark,47,Other,Aloe Vera Gel
Acne,Oily,Fair,41,Female,Neutrogena Oil-Free Acne Wash
Dark Spots,Oily,Fair,43,Female,Minimalist Alpha Arbutin Serum
Tanning,Sensitive,Medium,54,Male,Lotus Herbals Safe Sun
Pigmentation,Combination,Fair,37,Male,Murad Rapid Age Spot Correcting Serum
Dark Spots,Sensitive,Dusky,26,Female,Minimalist Alpha Arbutin Serum
Itchy Skin,Dry,Fair,26,Male,Eucerin Itch Relief Cream
Dryness,Normal,Olive,35,Male,CeraVe Moisturizing Cream
Sagging,Combination,Medium,57,Male,Pond’s Age Miracle Firming Serum
Dullness,Oily,Dusky,28,Male,The Ordinary Vitamin C Suspension
Eczema,Normal,Dusky,20,Male,CeraVe Eczema Relief Creamy Oil
Uneven Skin Tone,Oily,Dark,36,Female,L'Oreal Paris Glycolic Bright Serum
Acne,Normal,Dusky,48,Female,Neutrogena Oil-Free Acne Wash
Pigmentation,Normal,Dusky,42,Female,Murad Rapid Age Spot Correcting Serum
Itchy Skin,Oily,Medium,47,Other,Eucerin Itch Relief Cream
Whiteheads,Sensitive,Dark,55,Female,Paula's Choice BHA Exfoliant
Dryness,Oily,Olive,57,Other,CeraVe Moisturizing Cream
Blackheads,Oily,Dark,41,Female,The Body Shop Tea Tree Cleanser
Dullness,Oily,Dusky,48,Male,The Ordinary Vitamin C Suspension
Uneven Skin Tone,Combination,Fair,21,Female,L'Oreal Paris Glycolic Bright Serum
Pigmentation,Sensitive,Medium,45,Other,Murad Rapid Age Spot Correcting Serum
Eczema,Sensitive,Medium,24,Other,CeraVe Eczema Relief Creamy Oil
Pigmentation,Normal,Fair,23,Other,Murad Rapid Age Spot Correcting Serum
Tanning,Dry,Medium,16,Female,Lotus Herbals Safe Sun
Wrinkles,Oily,Medium,20,Male,Olay Regenerist Retinol 24
Whiteheads,Oily,Dark,28,Female,Paula's Choice BHA Exfoliant
Tanning,Oily,Fair,55,Other,Lotus Herbals Safe Sun
Dryness,Combination,Fair,27,Female,CeraVe Moisturizing Cream
Dryness,Sensitive,Dusky,20,Male,CeraVe Moisturizing Cream
Sagging,Combination,Dark,20,Other,Pond’s Age Miracle Firming Serum
Oily Skin,Sensitive,Fair,58,Female,La Roche-Posay Effaclar Gel
Whiteheads,Normal,Dusky,44,Other,Paula's Choice BHA Exfoliant
Redness,Normal,Olive,41,Male,Aveeno Ultra-Calming Foaming Cleanser
Oily Skin,Dry,Dusky,19,Female,La Roche-Posay Effaclar Gel
Eczema,Oily,Dusky,56,Female,CeraVe Eczema Relief Creamy Oil
Tanning,Oily,Medium,50,Other,Lotus Herbals Safe Sun
Dark Spots,Oily,Olive,19,Male,Minimalist Alpha Arbutin Serum
Wrinkles,Combination,Dusky,60,Female,Olay Regenerist Retinol 24
Sagging,Sensitive,Dark,44,Female,Pond’s Age Miracle Firming Serum
Oily Skin,Normal,Dusky,24,Female,La Roche-Posay Effaclar Gel
Inflammation,Sensitive,Fair,22,Female,The Ordinary Niacinamide 10% + Zinc 1%
Dryness,Normal,Medium,22,Female,CeraVe Moisturizing Cream
Redness,Combination,Dusky,20,Female,Aveeno Ultra-Calming Foaming Cleanser
Itchy Skin,Oily,Medium,25,Other,Eucerin Itch Relief Cream
Sunburn,Normal,Fair,32,Other,Aloe Vera Gel
Pores,Dry,Dusky,44,Other,Innisfree Super Volcanic Clay Mask
Pigmentation,Sensitive,Dark,58,Male,Murad Rapid Age Spot Correcting Serum
Uneven Skin Tone,Dry,Medium,19,Other,L'Oreal Paris Glycolic Bright Serum
Pores,Normal,Medium,50,Female,Innisfree Super Volcanic Clay Mask
Dark Spots,Normal,Olive,46,Male,Minimalist Alpha Arbutin Serum
Pores,Normal,Dark,27,Female,Innisfree Super Volcanic Clay Mask
Pigmentation,Normal,Olive,28,Male,Murad Rapid Age Spot Correcting Serum
Uneven Skin Tone,Sensitive,Fair,26,Other,L'Oreal Paris Glycolic Bright Serum
Whiteheads,Oily,Olive,31,Other,Paula's Choice BHA Exfoliant
Dark Spots,Sensitive,Dark,28,Other,Minimalist Alpha Arbutin Serum
Eczema,Normal,Dusky,40,Female,CeraVe Eczema Relief Creamy Oil
Tanning,Combination,Dusky,24,Other,Lotus Herbals Safe Sun
Itchy Skin,Dry,Olive,51,Male,Eucerin Itch Relief Cream
Uneven Skin Tone,Sensitive,Dusky,24,Other,L'Oreal Paris Glycolic Bright Serum
Blackheads,Normal,Fair,51,Other,The Body Shop Tea Tree Cleanser
Tanning,Sensitive,Dark,41,Male,Lotus Herbals Safe Sun
Dark Circles,Sensitive,Medium,37,Male,Mamaearth Under Eye Cream
Blackheads,Combination,Fair,40,Other,The Body Shop Tea Tree Cleanser
Pigmentation,Oily,Fair,42,Female,Murad Rapid Age Spot Correcting Serum
Sunburn,Dry,Dusky,19,Male,Aloe Vera Gel
Whiteheads,Dry,Fair,39,Female,Paula's Choice BHA Exfoliant
Sunburn,Combination,Dusky,27,Female,Aloe Vera Gel
Sunburn,Sensitive,Medium,49,Other,Aloe Vera Gel
Redness,Dry,Medium,28,Female,Aveeno Ultra-Calming Foaming Cleanser
Itchy Skin,Oily,Dusky,33,Female,Eucerin Itch Relief Cream
Pores,Combination,Fair,57,Female,Innisfree Super Volcanic Clay Mask
Sunburn,Combination,Dusky,25,Male,Aloe Vera Gel
Oily Skin,Oily,Dark,37,Female,La Roche-Posay Effaclar Gel
Inflammation,Combination,Dusky,52,Female,The Ordinary Niacinamide 10% + Zinc 1%
Sagging,Combination,Medium,21,Other,Pond’s Age Miracle Firming Serum
Tanning,Normal,Dusky,27,Other,Lotus Herbals Safe Sun
Dullness,Sensitive,Medium,48,Male,The Ordinary Vitamin C Suspension
Pores,Oily,Medium,55,Male,Innisfree Super Volcanic Clay Mask
Wrinkles,Sensitive,Dusky,47,Other,Olay Regenerist Retinol 24
Eczema,Dry,Dusky,58,Female,CeraVe Eczema Relief Creamy Oil
Dullness,Dry,Olive,54,Other,The Ordinary Vitamin C Suspension
Itchy Skin,Dry,Dusky,44,Other,Eucerin Itch Relief Cream
Sunburn,Combination,Medium,57,Other,Aloe Vera Gel
Eczema,Normal,Dark,39,Other,CeraVe Eczema Relief Creamy Oil
Inflammation,Oily,Dusky,31,Male,The Ordinary Niacinamide 10% + Zinc 1%
Dryness,Sensitive,Dusky,23,Female,CeraVe Moisturizing Cream
Pores,Oily,Olive,30,Female,Innisfree Super Volcanic Clay Mask
Sagging,Normal,Medium,59,Male,Pond’s Age Miracle Firming Serum
Dryness,Combination,Dark,51,Male,CeraVe Moisturizing Cream
Whiteheads,Combination,Medium,20,Male,Paula's Choice BHA Exfoliant
Dark Spots,Oily,Medium,32,Female,Minimalist Alpha Arbutin Serum
Dullness,Dry,Dark,50,Other,The Ordinary Vitamin C Suspension
Rosacea,Dry,Dusky,29,Other,Cetaphil Redness Relief
Dryness,Oily,Dusky,56,Female,CeraVe Moisturizing Cream
Acne,Sensitive,Dark,53,Female,Neutrogena Oil-Free Acne Wash
Wrinkles,Oily,Dark,54,Other,Olay Regenerist Retinol 24
Redness,Dry,Dark,35,Other,Aveeno Ultra-Calming Foaming Cleanser
Wrinkles,Dry,Fair,49,Female,Olay Regenerist Retinol 24
Eczema,Oily,Dark,37,Male,CeraVe Eczema Relief Creamy Oil
Redness,Oily,Dusky,44,Male,Aveeno Ultra-Calming Foaming Cleanser
Pores,Normal,Fair,22,Male,Innisfree Super Volcanic Clay Mask
Pigmentation,Combination,Fair,24,Other,Murad Rapid Age Spot Correcting Serum
Sunburn,Oily,Dark,18,Male,Aloe Vera Gel
Whiteheads,Oily,Medium,46,Male,Paula's Choice BHA Exfoliant
Tanning,Normal,Olive,42,Other,Lotus Herbals Safe Sun
Blackheads,Dry,Fair,27,Male,The Body Shop Tea Tree Cleanser
Tanning,Sensitive,Fair,32,Other,Lotus Herbals Safe Sun
Eczema,Normal,Dusky,25,Female,CeraVe Eczema Relief Creamy Oil
Dryness,Sensitive,Olive,41,Female,CeraVe Moisturizing Cream
Eczema,Normal,Dark,48,Female,CeraVe Eczema Relief Creamy Oil
Pigmentation,Oily,Fair,57,Male,Murad Rapid Age Spot Correcting Serum
Dullness,Oily,Dusky,33,Male,The Ordinary Vitamin C Suspension
Whiteheads,Sensitive,Fair,57,Female,Paula's Choice BHA Exfoliant
Blackheads,Sensitive,Medium,31,Other,The Body Shop Tea Tree Cleanser
Tanning,Sensitive,Fair,38,Other,Lotus Herbals Safe Sun
Pores,Dry,Olive,36,Other,Innisfree Super Volcanic Clay Mask
Eczema,Normal,Dusky,45,Female,CeraVe Eczema Relief Creamy Oil
Sagging,Sensitive,Medium,47,Other,Pond’s Age Miracle Firming Serum
Eczema,Normal,Medium,53,Male,CeraVe Eczema Relief Creamy Oil
Acne,Combination,Dusky,47,Female,Neutrogena Oil-Free Acne Wash
Inflammation,Sensitive,Olive,57,Other,The Ordinary Niacinamide 10% + Zinc 1%
Sunburn,Sensitive,Dark,43,Male,Aloe Vera Gel
Sagging,Combination,Fair,18,Female,Pond’s Age Miracle Firming Serum
Inflammation,Dry,Olive,33,Other,The Ordinary Niacinamide 10% + Zinc 1%
Tanning,Oily,Dusky,16,Female,Lotus Herbals Safe Sun
Blackheads,Normal,Fair,31,Female,The Body Shop Tea Tree Cleanser
Redness,Oily,Medium,49,Female,Aveeno Ultra-Calming Foaming Cleanser
Tanning,Sensitive,Olive,56,Female,Lotus Herbals Safe Sun
Redness,Oily,Olive,42,Male,Aveeno Ultra-Calming Foaming Cleanser
Pores,Combination,Dark,41,Male,Innisfree Super Volcanic Clay Mask
Sagging,Combination,Fair,26,Male,Pond’s Age Miracle Firming Serum
Dryness,Oily,Olive,34,Male,CeraVe Moisturizing Cream
Rosacea,Dry,Medium,40,Female,Cetaphil Redness Relief
Dullness,Oily,Olive,17,Male,The Ordinary Vitamin C Suspension
Whiteheads,Combination,Olive,34,Male,Paula's Choice BHA Exfoliant
Dark Spots,Combination,Olive,56,Male,Minimalist Alpha Arbutin Serum
Uneven Skin Tone,Sensitive,Dusky,31,Female,L'Oreal Paris Glycolic Bright Serum
Pigmentation,Combination,Medium,46,Female,Murad Rapid Age Spot Correcting Serum
Inflammation,Combination,Fair,44,Other,The Ordinary Niacinamide 10% + Zinc 1%
Redness,Combination,Dusky,45,Male,Aveeno Ultra-Calming Foaming Cleanser
Sagging,Combination,Olive,38,Other,Pond’s Age Miracle Firming Serum
Dark Circles,Combination,Fair,26,Male,Mamaearth Under Eye Cream
Uneven Skin Tone,Normal,Dusky,42,Female,L'Oreal Paris Glycolic Bright Serum
Inflammation,Oily,Fair,58,Female,The Ordinary Niacinamide 10% + Zinc 1%
Uneven Skin Tone,Dry,Medium,46,Other,L'Oreal Paris Glycolic Bright Serum
Pigmentation,Normal,Dusky,52,Other,Murad Rapid Age Spot Correcting Serum
Redness,Combination,Medium,29,Other,Aveeno Ultra-Calming Foaming Cleanser
Rosacea,Sensitive,Dusky,59,Other,Cetaphil Redness Relief
Inflammation,Normal,Fair,25,Male,The Ordinary Niacinamide 10% + Zinc 1%
Blackheads,Normal,Dusky,33,Male,The Body Shop Tea Tree Cleanser
Itchy Skin,Oily,Fair,51,Female,Eucerin Itch Relief Cream
Oily Skin,Combination,Olive,21,Male,La Roche-Posay Effaclar Gel
Dullness,Dry,Dark,52,Other,The Ordinary Vitamin C Suspension
Uneven Skin Tone,Sensitive,Dusky,30,Other,L'Oreal Paris Glycolic Bright Serum
Tanning,Combination,Fair,28,Other,Lotus Herbals Safe Sun
Eczema,Sensitive,Dark,31,Female,CeraVe Eczema Relief Creamy Oil
Pigmentation,Normal,Dusky,42,Male,Murad Rapid Age Spot Correcting Serum
Dullness,Dry,Dark,26,Male,The Ordinary Vitamin C Suspension
Whiteheads,Oily,Olive,38,Male,Paula's Choice BHA Exfoliant
Acne,Sensitive,Medium,29,Female,Neutrogena Oil-Free Acne Wash
Redness,Oily,Fair,49,Other,Aveeno Ultra-Calming Foaming Cleanser
Sagging,Normal,Dark,28,Female,Pond’s Age Miracle Firming Serum
Dark Circles,Normal,Medium,57,Female,Mamaearth Under Eye Cream
Pores,Normal,Medium,58,Male,Innisfree Super Volcanic Clay Mask
Dark Spots,Oily,Dusky,22,Other,Minimalist Alpha Arbutin Serum
Eczema,Oily,Dark,21,Female,CeraVe Eczema Relief Creamy Oil
Dryness,Dry,Medium,59,Male,CeraVe Moisturizing Cream
Dryness,Normal,Dusky,34,Female,CeraVe Moisturizing Cream
Oily Skin,Normal,Dusky,31,Female,La Roche-Posay Effaclar Gel
Redness,Oily,Medium,59,Male,Aveeno Ultra-Calming Foaming Cleanser
Eczema,Dry,Fair,30,Female,CeraVe Eczema Relief Creamy Oil
Tanning,Normal,Fair,26,Other,Lotus Herbals Safe Sun
Oily Skin,Oily,Olive,31,Female,La Roche-Posay Effaclar Gel
Sagging,Sensitive,Dark,45,Female,Pond’s Age Miracle Firming Serum
Itchy Skin,Dry,Dark,37,Female,Eucerin Itch Relief Cream
Rosacea,Combination,Dusky,38,Female,Cetaphil Redness Relief
Uneven Skin Tone,Normal,Fair,29,Female,L'Oreal Paris Glycolic Bright Serum
Dark Spots,Oily,Olive,37,Other,Minimalist Alpha Arbutin Serum
Whiteheads,Dry,Dusky,23,Male,Paula's Choice BHA Exfoliant
Dryness,Dry,Dark,55,Male,CeraVe Moisturizing Cream
Inflammation,Combination,Dusky,29,Male,The Ordinary Niacinamide 10% + Zinc 1%
Dryness,Normal,Olive,24,Male,CeraVe Moisturizing Cream
Blackheads,Dry,Fair,29,Female,The Body Shop Tea Tree Cleanser
Oily Skin,Combination,Olive,36,Female,La Roche-Posay Effaclar Gel
Acne,Sensitive,Fair,25,Female,Neutrogena Oil-Free Acne Wash
Whiteheads,Oily,Dark,24,Female,Paula's Choice BHA Exfoliant
Acne,Sensitive,Dark,34,Other,Neutrogena Oil-Free Acne Wash
Wrinkles,Combination,Fair,35,Female,Olay Regenerist Retinol 24
Dark Spots,Sensitive,Dark,26,Male,Minimalist Alpha Arbutin Serum
Redness,Combination,Olive,31,Other,Aveeno Ultra-Calming Foaming Cleanser
Whiteheads,Dry,Dark,60,Other,Paula's Choice BHA Exfoliant
Itchy Skin,Dry,Fair,27,Other,Eucerin Itch Relief Cream
Dullness,Oily,Dark,52,Female,The Ordinary Vitamin C Suspension
Sagging,Dry,Dusky,26,Other,Pond’s Age Miracle Firming Serum
Dryness,Dry,Medium,39,Other,CeraVe Moisturizing Cream
Eczema,Dry,Dark,45,Male,CeraVe Eczema Relief Creamy Oil
Pigmentation,Combination,Olive,27,Other,Murad Rapid Age Spot Correcting Serum
Whiteheads,Normal,Olive,54,Male,Paula's Choice BHA Exfoliant
Inflammation,Normal,Dusky,54,Female,The Ordinary Niacinamide 10% + Zinc 1%
Oily Skin,Sensitive,Dusky,55,Other,La Roche-Posay Effaclar Gel
Oily Skin,Normal,Dusky,36,Female,La Roche-Posay Effaclar Gel
Dullness,Combination,Dark,32,Female,The Ordinary Vitamin C Suspension
Dark Circles,Dry,Olive,16,Male,Mamaearth Under Eye Cream
Whiteheads,Oily,Dusky,26,Female,Paula's Choice BHA Exfoliant
Dark Circles,Normal,Dark,47,Other,Mamaearth Under Eye Cream
Pores,Combination,Dusky,47,Male,Innisfree Super Volcanic Clay Mask
Oily Skin,Normal,Olive,46,Female,La Roche-Posay Effaclar Gel
Eczema,Combination,Fair,23,Other,CeraVe Eczema Relief Creamy Oil
Dullness,Sensitive,Dark,18,Other,The Ordinary Vitamin C Suspension
Eczema,Dry,Dark,47,Male,CeraVe Eczema Relief Creamy Oil
Uneven Skin Tone,Oily,Medium,48,Other,L'Oreal Paris Glycolic Bright Serum
Acne,Oily,Dusky,58,Male,Neutrogena Oil-Free Acne Wash
Itchy Skin,Sensitive,Fair,56,Female,Eucerin Itch Relief Cream
Blackheads,Combination,Dark,18,Other,The Body Shop Tea Tree Cleanser
Blackheads,Oily,Dark,22,Male,The Body Shop Tea Tree Cleanser
Dullness,Oily,Dark,53,Other,The Ordinary Vitamin C Suspension
Dark Circles,Oily,Dark,33,Female,Mamaearth Under Eye Cream
Sagging,Combination,Medium,47,Female,Pond’s Age Miracle Firming Serum
Dullness,Dry,Olive,58,Male,The Ordinary Vitamin C Suspension
Dark Circles,Normal,Dark,47,Other,Mamaearth Under Eye Cream
Dark Spots,Combination,Fair,38,Other,Minimalist Alpha Arbutin Serum
Dryness,Sensitive,Dark,49,Other,CeraVe Moisturizing Cream
Oily Skin,Combination,Dusky,45,Male,La Roche-Posay Effaclar Gel
Uneven Skin Tone,Combination,Dark,59,Female,L'Oreal Paris Glycolic Bright Serum
Oily Skin,Sensitive,Dark,51,Other,La Roche-Posay Effaclar Gel
Dullness,Oily,Olive,31,Female,The Ordinary Vitamin C Suspension
Blackheads,Sensitive,Dusky,42,Other,The Body Shop Tea Tree Cleanser
Acne,Combination,Olive,39,Female,Neutrogena Oil-Free Acne Wash
Wrinkles,Sensitive,Fair,20,Male,Olay Regenerist Retinol 24
Sunburn,Normal,Dusky,42,Male,Aloe Vera Gel
Pigmentation,Dry,Dusky,39,Male,Murad Rapid Age Spot Correcting Serum
Dark Spots,Dry,Dusky,41,Other,Minimalist Alpha Arbutin Serum
Rosacea,Oily,Olive,24,Male,Cetaphil Redness Relief
Dark Circles,Sensitive,Olive,44,Other,Mamaearth Under Eye Cream
Dullness,Normal,Dark,53,Female,The Ordinary Vitamin C Suspension
Tanning,Combination,Olive,46,Other,Lotus Herbals Safe Sun
Dark Spots,Normal,Dark,28,Male,Minimalist Alpha Arbutin Serum
Inflammation,Sensitive,Medium,19,Female,The Ordinary Niacinamide 10% + Zinc 1%
Pigmentation,Sensitive,Fair,32,Other,Murad Rapid Age Spot Correcting Serum
Sunburn,Sensitive,Olive,27,Male,Aloe Vera Gel
Pores,Normal,Fair,43,Female,Innisfree Super Volcanic Clay Mask
Dark Circles,Dry,Fair,23,Male,Mamaearth Under Eye Cream
Sagging,Combination,Dark,53,Other,Pond’s Age Miracle Firming Serum
Acne,Oily,Dark,40,Male,Neutrogena Oil-Free Acne Wash
Wrinkles,Normal,Fair,52,Other,Olay Regenerist Retinol 24
Redness,Dry,Dark,59,Other,Aveeno Ultra-Calming Foaming Cleanser
