Skin_Concern,Diet_Type,Foods_to_Eat,Foods_to_Avoid
Eczema,combination,Fruit Yogurt,Chips
Itchy Skin,combination,Fruit Yogurt,Instant Noodles
Wrinkles,veg,Cucumber,Pickles
Inflammation,nonveg,Liver,Spicy Chicken
Rosacea,combination,Fruit Yogurt,Ice Cream
Dullness,vegen,Quinoa,Mock Meats
Wrinkles,vegen,Soy Milk,Packaged Vegan Chips
Blackheads,combination,Tofu Stir Fry,Fried Chicken
Sunburn,combination,Tofu Stir Fry,Pizza
Itchy Skin,vegen,Quinoa,Vegan Mayo
Uneven Skin Tone,vegen,Coconut Water,Excess Soy
Sagging,combination,Avocado Toast with Egg,Fried Chicken
Oily Skin,vegen,Kale,Vegan Mayo
Dullness,nonveg,Yogurt,Red Meat
Sagging,nonveg,Salmon,Mayonnaise
Wrinkles,vegen,Kale,Agave Syrup
Wrinkles,nonveg,Oysters,Red Meat
Acne,vegen,Coconut Water,Vegan Mayo
Sunburn,vegen,Zucchini,Overprocessed Vegan Snacks
Dark Circles,nonveg,Tuna,Butter Chicken
Uneven Skin Tone,combination,Egg Salad,Ice Cream
Sunburn,vegen,Zucchini,Mock Meats
Eczema,combination,Fish Curry with Rice,Fried Chicken
Uneven Skin Tone,veg,Beetroot,Carbonated Drinks
Oily Skin,nonveg,Liver,Processed Meat
Sunburn,nonveg,Turkey,Mutton Curry
Uneven Skin Tone,combination,Chicken with Broccoli,Instant Noodles
Eczema,vegen,Tofu,Packaged Vegan Chips
Eczema,veg,Tomato,White Bread
Dark Circles,nonveg,Yogurt,Mayonnaise
Sagging,veg,Broccoli,Pickles
Eczema,combination,Egg Salad,Cream Biscuits
Blackheads,combination,Mixed Nuts,Chips
Pores,vegen,Soy Milk,Overprocessed Vegan Snacks
Dryness,veg,Almonds,Refined Sugar
Sagging,combination,Chicken with Broccoli,Ice Cream
Redness,combination,Fruit Yogurt,Chips
Inflammation,combination,Baked Fish with Veggies,Excess Cheese
Wrinkles,nonveg,Chicken Breast,Butter Chicken
Inflammation,nonveg,Bone Broth,Fried Fish
Dark Circles,vegen,Soy Milk,Agave Syrup
Uneven Skin Tone,veg,Cucumber,Pickles
Wrinkles,nonveg,Eggs,Spicy Chicken
Tanning,nonveg,Salmon,Processed Meat
Rosacea,combination,Fruit Yogurt,Excess Cheese
Tanning,combination,Vegetable Soup,Pizza
Whiteheads,combination,Mixed Nuts,Chips
Uneven Skin Tone,combination,Egg Salad,Sugary Drinks
Redness,nonveg,Oysters,Sausages
Acne,vegen,Kale,Fried Tofu
Tanning,combination,Vegetable Soup,Ice Cream
Dark Circles,vegen,Hummus,Excess Soy
Inflammation,veg,Broccoli,Pickles
Dryness,veg,Sweet Potato,White Bread
Blackheads,vegen,Zucchini,Agave Syrup
Dark Circles,vegen,Zucchini,Refined Oil
Pigmentation,nonveg,Eggs,Red Meat
Inflammation,vegen,Quinoa,Coconut Cream
Acne,vegen,Chia Seeds,Fried Tofu
Eczema,veg,Almonds,Creamy Curries
Acne,veg,Pumpkin Seeds,Refined Sugar
Pigmentation,veg,Carrot,Carbonated Drinks
Inflammation,nonveg,Yogurt,Bacon
Eczema,veg,Cucumber,Pickles
Eczema,vegen,Tofu,White Sugar
Rosacea,nonveg,Chicken Breast,Butter Chicken
Sunburn,nonveg,Tuna,Fried Egg
Oily Skin,nonveg,Bone Broth,Sausages
Eczema,nonveg,Chicken Breast,Red Meat
Uneven Skin Tone,nonveg,Salmon,Mayonnaise
Oily Skin,nonveg,Eggs,Sausages
Dryness,veg,Sweet Potato,White Bread
Dark Circles,nonveg,Turkey,Mayonnaise
Whiteheads,nonveg,Turkey,Red Meat
Uneven Skin Tone,combination,Tofu Stir Fry,Fried Chicken
Uneven Skin Tone,vegen,Coconut Water,Vegan Mayo
Itchy Skin,nonveg,Prawns,Spicy Chicken
Dryness,vegen,Oats,Overprocessed Vegan Snacks
Pigmentation,veg,Spinach,White Bread
Redness,veg,Broccoli,Butter
Redness,vegen,Quinoa,Vegan Mayo
Inflammation,combination,Fish Curry with Rice,Instant Noodles
Sagging,vegen,Soy Milk,Mock Meats
Redness,veg,Almonds,Butter
Itchy Skin,nonveg,Yogurt,Processed Meat
Pigmentation,combination,Baked Fish with Veggies,Ice Cream
Itchy Skin,vegen,Lentils,Fried Tofu
Sagging,combination,Egg Salad,Butter Paneer
Acne,combination,Avocado Toast with Egg,Chips
Sagging,vegen,Kale,Refined Oil
Redness,veg,Beetroot,Processed Juice
Dark Spots,vegen,Tofu,Vegan Mayo
Dullness,nonveg,Liver,Butter Chicken
Dryness,nonveg,Prawns,Spicy Chicken
Rosacea,veg,Almonds,Butter
Wrinkles,vegen,Soy Milk,Refined Oil
Uneven Skin Tone,nonveg,Turkey,Fried Fish
Dark Spots,vegen,Soy Milk,Coconut Cream
Rosacea,vegen,Coconut Water,Vegan Mayo
Acne,nonveg,Chicken Breast,Sausages
Rosacea,combination,Baked Fish with Veggies,Cream Biscuits
Pores,veg,Beetroot,Creamy Curries
Inflammation,nonveg,Chicken Breast,Spicy Chicken
Whiteheads,nonveg,Prawns,Processed Meat
Blackheads,combination,Fruit Yogurt,Burger
Rosacea,veg,Spinach,Processed Juice
Eczema,veg,Turmeric Milk,Deep-Fried Snacks
Whiteheads,veg,Sweet Potato,Creamy Curries
Acne,veg,Cucumber,Fried Potato
Dark Spots,vegen,Kale,White Sugar
Pores,nonveg,Salmon,Mayonnaise
Itchy Skin,veg,Carrot,Creamy Curries
Dullness,veg,Broccoli,Carbonated Drinks
Blackheads,vegen,Coconut Water,Mock Meats
Pores,vegen,Zucchini,Agave Syrup
Itchy Skin,nonveg,Yogurt,Sausages
Oily Skin,veg,Pumpkin Seeds,Refined Sugar
Oily Skin,veg,Turmeric Milk,Fried Potato
Dryness,vegen,Soy Milk,White Sugar
Sagging,combination,Egg Salad,Sugary Drinks
Acne,combination,Egg Salad,Sugary Drinks
Pores,combination,Tofu Stir Fry,Butter Paneer
Pigmentation,nonveg,Bone Broth,Spicy Chicken
Dryness,veg,Carrot,White Bread
Eczema,vegen,Quinoa,Mock Meats
Eczema,vegen,Lentils,Fried Tofu
Uneven Skin Tone,nonveg,Bone Broth,Sausages
Uneven Skin Tone,vegen,Lentils,Packaged Vegan Chips
Pigmentation,combination,Fish Curry with Rice,Excess Cheese
Eczema,combination,Fish Curry with Rice,Pizza
Dullness,veg,Almonds,Butter
Wrinkles,combination,Vegetable Soup,Butter Paneer
Dullness,veg,Pumpkin Seeds,Refined Sugar
Sunburn,nonveg,Turkey,Fried Egg
Blackheads,vegen,Hummus,Agave Syrup
Inflammation,vegen,Hummus,Vegan Mayo
Wrinkles,vegen,Soy Milk,Vegan Mayo
Uneven Skin Tone,combination,Baked Fish with Veggies,Burger
Itchy Skin,combination,Tofu Stir Fry,Pizza
Pores,combination,Tofu Stir Fry,Excess Cheese
Dark Spots,veg,Broccoli,Butter
Inflammation,veg,Sweet Potato,Fried Potato
Sunburn,combination,Greek Yogurt with Berries,Excess Cheese
Pigmentation,combination,Egg Salad,Chips
Itchy Skin,combination,Fruit Yogurt,Chips
Acne,vegen,Oats,Overprocessed Vegan Snacks
Whiteheads,combination,Vegetable Soup,Chips
Dark Circles,vegen,Zucchini,White Sugar
Wrinkles,veg,Spinach,Fried Potato
Dark Spots,combination,Chicken with Broccoli,Fried Chicken
Whiteheads,vegen,Hummus,Vegan Mayo
Eczema,combination,Tofu Stir Fry,Ice Cream
Pigmentation,veg,Tomato,Cheese
Inflammation,vegen,Chia Seeds,Vegan Mayo
Sunburn,veg,Cucumber,Carbonated Drinks
Whiteheads,veg,Carrot,White Bread
Dark Circles,vegen,Lentils,Overprocessed Vegan Snacks
Pores,vegen,Tofu,Refined Oil
Uneven Skin Tone,combination,Fruit Yogurt,Fried Chicken
Pigmentation,vegen,Coconut Water,White Sugar
Eczema,nonveg,Chicken Breast,Bacon
Sagging,combination,Tofu Stir Fry,Fried Chicken
Whiteheads,vegen,Lentils,Agave Syrup
Acne,combination,Fish Curry with Rice,Cream Biscuits
Blackheads,vegen,Chia Seeds,Fried Tofu
Tanning,combination,Baked Fish with Veggies,Sugary Drinks
Oily Skin,combination,Avocado Toast with Egg,Burger
Itchy Skin,nonveg,Turkey,Processed Meat
Tanning,veg,Broccoli,Cheese
Dark Circles,nonveg,Liver,Mayonnaise
Redness,vegen,Zucchini,Vegan Mayo
Dark Spots,vegen,Kale,Coconut Cream
Dullness,combination,Mixed Nuts,Fried Chicken
Whiteheads,vegen,Lentils,White Sugar
Blackheads,combination,Egg Salad,Burger
Eczema,nonveg,Bone Broth,Mutton Curry
Redness,veg,Pumpkin Seeds,Processed Juice
Redness,nonveg,Turkey,Processed Meat
Oily Skin,nonveg,Yogurt,Sausages
Blackheads,veg,Spinach,White Bread
Whiteheads,combination,Fruit Yogurt,Butter Paneer
Eczema,nonveg,Liver,Processed Meat
Redness,veg,Spinach,Cheese
Redness,vegen,Tofu,Overprocessed Vegan Snacks
Blackheads,veg,Cucumber,Fried Potato
Redness,combination,Tofu Stir Fry,Instant Noodles
Dark Spots,veg,Pumpkin Seeds,Carbonated Drinks
Wrinkles,vegen,Soy Milk,Overprocessed Vegan Snacks
Dark Circles,vegen,Lentils,Excess Soy
Blackheads,veg,Tomato,Creamy Curries
Pigmentation,vegen,Chia Seeds,Vegan Mayo
Redness,nonveg,Yogurt,Bacon
Itchy Skin,combination,Avocado Toast with Egg,Ice Cream
Oily Skin,veg,Beetroot,Refined Sugar
Sunburn,veg,Cucumber,Deep-Fried Snacks
Pigmentation,vegen,Coconut Water,Refined Oil
Rosacea,vegen,Chia Seeds,Coconut Cream
Dullness,combination,Tofu Stir Fry,Fried Chicken
Uneven Skin Tone,vegen,Hummus,Excess Soy
Pores,vegen,Quinoa,Packaged Vegan Chips
Oily Skin,veg,Beetroot,Deep-Fried Snacks
Dark Spots,nonveg,Oysters,Spicy Chicken
Oily Skin,nonveg,Prawns,Butter Chicken
Rosacea,vegen,Zucchini,Refined Oil
Uneven Skin Tone,combination,Avocado Toast with Egg,Cream Biscuits
Eczema,combination,Fish Curry with Rice,Fried Chicken
Dark Spots,nonveg,Prawns,Bacon
Itchy Skin,veg,Pumpkin Seeds,White Bread
Dryness,nonveg,Chicken Breast,Mutton Curry
Pigmentation,vegen,Chia Seeds,Overprocessed Vegan Snacks
Sunburn,nonveg,Salmon,Mutton Curry
Redness,vegen,Coconut Water,Agave Syrup
Dullness,nonveg,Turkey,Mayonnaise
Tanning,vegen,Tofu,Agave Syrup
Tanning,combination,Fish Curry with Rice,Butter Paneer
Dark Circles,vegen,Hummus,Refined Oil
Blackheads,nonveg,Salmon,Butter Chicken
Sagging,vegen,Coconut Water,Excess Soy
Whiteheads,vegen,Chia Seeds,Refined Oil
Redness,nonveg,Prawns,Mutton Curry
Blackheads,combination,Mixed Nuts,Chips
Sagging,nonveg,Oysters,Sausages
Pigmentation,nonveg,Eggs,Mayonnaise
Sagging,veg,Carrot,Butter
Uneven Skin Tone,nonveg,Oysters,Butter Chicken
Pores,vegen,Oats,Refined Oil
Dark Circles,vegen,Oats,Overprocessed Vegan Snacks
Pigmentation,combination,Baked Fish with Veggies,Pizza
Dullness,nonveg,Yogurt,Red Meat
Dark Circles,combination,Mixed Nuts,Chips
Dullness,vegen,Coconut Water,Mock Meats
Blackheads,vegen,Kale,Refined Oil
Dullness,veg,Spinach,Pickles
Sagging,veg,Pumpkin Seeds,Processed Juice
Redness,combination,Avocado Toast with Egg,Butter Paneer
Blackheads,vegen,Quinoa,Agave Syrup
Eczema,veg,Broccoli,Butter
Dark Spots,combination,Avocado Toast with Egg,Butter Paneer
Blackheads,nonveg,Eggs,Spicy Chicken
Eczema,veg,Beetroot,Butter
Tanning,combination,Mixed Nuts,Fried Chicken
Itchy Skin,vegen,Soy Milk,Refined Oil
Redness,nonveg,Tuna,Fried Egg
Whiteheads,combination,Tofu Stir Fry,Cream Biscuits
Whiteheads,nonveg,Liver,Bacon
Dryness,vegen,Hummus,Refined Oil
Tanning,combination,Vegetable Soup,Pizza
Oily Skin,nonveg,Salmon,Mutton Curry
Blackheads,veg,Spinach,Carbonated Drinks
Dark Spots,vegen,Chia Seeds,Agave Syrup
Dark Circles,nonveg,Tuna,Processed Meat
Redness,veg,Pumpkin Seeds,Deep-Fried Snacks
Oily Skin,veg,Sweet Potato,Fried Potato
Wrinkles,combination,Vegetable Soup,Ice Cream
Itchy Skin,combination,Vegetable Soup,Chips
Rosacea,vegen,Soy Milk,Overprocessed Vegan Snacks
Itchy Skin,vegen,Tofu,Vegan Mayo
Itchy Skin,veg,Pumpkin Seeds,Pickles
Pores,vegen,Zucchini,Coconut Cream
Itchy Skin,combination,Mixed Nuts,Butter Paneer
Uneven Skin Tone,combination,Tofu Stir Fry,Cream Biscuits
Pores,combination,Egg Salad,Chips
Uneven Skin Tone,nonveg,Liver,Spicy Chicken
Inflammation,veg,Cucumber,Refined Sugar
Dullness,combination,Fruit Yogurt,Burger
Tanning,nonveg,Bone Broth,Processed Meat
Pigmentation,combination,Fish Curry with Rice,Chips
Dark Circles,veg,Cucumber,Deep-Fried Snacks
Dark Spots,nonveg,Chicken Breast,Sausages
Uneven Skin Tone,veg,Spinach,Processed Juice
Pigmentation,veg,Broccoli,Cheese
Sagging,combination,Fruit Yogurt,Chips
Dark Circles,veg,Tomato,Fried Potato
Dark Circles,vegen,Hummus,Mock Meats
Whiteheads,vegen,Oats,Refined Oil
Dark Spots,nonveg,Yogurt,Red Meat
Sunburn,combination,Vegetable Soup,Sugary Drinks
Oily Skin,nonveg,Yogurt,Bacon
Acne,nonveg,Bone Broth,Mutton Curry
Redness,nonveg,Yogurt,Red Meat
Inflammation,combination,Chicken with Broccoli,Sugary Drinks
Oily Skin,veg,Pumpkin Seeds,White Bread
Pores,vegen,Zucchini,Coconut Cream
Inflammation,veg,Carrot,Butter
Sagging,combination,Chicken with Broccoli,Sugary Drinks
Blackheads,nonveg,Oysters,Bacon
Redness,veg,Spinach,Deep-Fried Snacks
Eczema,veg,Spinach,Carbonated Drinks
Dullness,nonveg,Yogurt,Butter Chicken
Pores,vegen,Chia Seeds,Excess Soy
Sunburn,vegen,Tofu,Fried Tofu
Redness,vegen,Chia Seeds,Overprocessed Vegan Snacks
Sagging,nonveg,Yogurt,Spicy Chicken
Wrinkles,veg,Beetroot,Fried Potato
Pigmentation,veg,Tomato,Deep-Fried Snacks
Oily Skin,nonveg,Salmon,Fried Fish
Dullness,combination,Greek Yogurt with Berries,Pizza
Pigmentation,veg,Sweet Potato,Deep-Fried Snacks
Dark Spots,veg,Turmeric Milk,Pickles
Redness,combination,Mixed Nuts,Sugary Drinks
Sunburn,veg,Turmeric Milk,Refined Sugar
Inflammation,veg,Sweet Potato,White Bread
Oily Skin,nonveg,Tuna,Processed Meat
Rosacea,nonveg,Chicken Breast,Mayonnaise
Dark Circles,nonveg,Liver,Sausages
Sagging,veg,Broccoli,Refined Sugar
Sagging,veg,Carrot,Carbonated Drinks
Tanning,veg,Turmeric Milk,Refined Sugar
Dark Spots,vegen,Lentils,Refined Oil
Uneven Skin Tone,veg,Spinach,Carbonated Drinks
Sunburn,nonveg,Salmon,Mutton Curry
Whiteheads,combination,Tofu Stir Fry,Chips
Redness,veg,Cucumber,Refined Sugar
Whiteheads,vegen,Hummus,Coconut Cream
Dryness,vegen,Kale,Coconut Cream
Dark Circles,combination,Baked Fish with Veggies,Sugary Drinks
Blackheads,veg,Almonds,Carbonated Drinks
Wrinkles,vegen,Soy Milk,Excess Soy
Sagging,veg,Spinach,Fried Potato
Uneven Skin Tone,vegen,Soy Milk,Excess Soy
Inflammation,vegen,Oats,Refined Oil
Redness,vegen,Kale,Refined Oil
Acne,combination,Tofu Stir Fry,Cream Biscuits
Whiteheads,vegen,Zucchini,Agave Syrup
Rosacea,nonveg,Eggs,Mutton Curry
Sunburn,vegen,Soy Milk,Refined Oil
Sagging,veg,Pumpkin Seeds,Deep-Fried Snacks
Acne,veg,Turmeric Milk,Creamy Curries
Oily Skin,combination,Egg Salad,Fried Chicken
Redness,nonveg,Tuna,Spicy Chicken
Sunburn,combination,Vegetable Soup,Pizza
Rosacea,combination,Greek Yogurt with Berries,Butter Paneer
Dullness,combination,Greek Yogurt with Berries,Fried Chicken
Tanning,nonveg,Bone Broth,Spicy Chicken
Blackheads,vegen,Quinoa,Mock Meats
Acne,vegen,Tofu,Overprocessed Vegan Snacks
Dark Spots,combination,Greek Yogurt with Berries,Sugary Drinks
Pores,combination,Fruit Yogurt,Chips
Uneven Skin Tone,veg,Tomato,Processed Juice
Wrinkles,vegen,Soy Milk,Excess Soy
Dullness,nonveg,Tuna,Sausages
Sagging,nonveg,Prawns,Mayonnaise
Sunburn,vegen,Zucchini,Excess Soy
Dark Circles,nonveg,Prawns,Red Meat
Dryness,combination,Vegetable Soup,Excess Cheese
Whiteheads,vegen,Quinoa,Vegan Mayo
Dullness,vegen,Hummus,Packaged Vegan Chips
Dark Spots,vegen,Kale,Packaged Vegan Chips
Wrinkles,vegen,Oats,Fried Tofu
Oily Skin,nonveg,Salmon,Sausages
Blackheads,veg,Cucumber,Cheese
Pores,nonveg,Bone Broth,Mayonnaise
Sagging,vegen,Soy Milk,White Sugar
Whiteheads,combination,Greek Yogurt with Berries,Instant Noodles
Acne,veg,Spinach,Butter
Whiteheads,veg,Pumpkin Seeds,Creamy Curries
Pigmentation,veg,Broccoli,Carbonated Drinks
Rosacea,veg,Spinach,Pickles
Tanning,vegen,Chia Seeds,White Sugar
Dullness,vegen,Soy Milk,Excess Soy
Rosacea,veg,Spinach,Deep-Fried Snacks
Eczema,nonveg,Liver,Red Meat
Uneven Skin Tone,combination,Mixed Nuts,Instant Noodles
Rosacea,combination,Fruit Yogurt,Sugary Drinks
Rosacea,nonveg,Liver,Butter Chicken
Whiteheads,nonveg,Turkey,Mayonnaise
Oily Skin,combination,Egg Salad,Ice Cream
Dullness,combination,Mixed Nuts,Instant Noodles
Uneven Skin Tone,combination,Avocado Toast with Egg,Excess Cheese
Acne,veg,Tomato,Fried Potato
Oily Skin,veg,Turmeric Milk,Pickles
Dark Circles,nonveg,Turkey,Spicy Chicken
Blackheads,vegen,Zucchini,Fried Tofu
Whiteheads,nonveg,Chicken Breast,Mayonnaise
Sunburn,vegen,Coconut Water,Excess Soy
Tanning,combination,Egg Salad,Cream Biscuits
Uneven Skin Tone,vegen,Soy Milk,Mock Meats
Sunburn,combination,Egg Salad,Cream Biscuits
Inflammation,veg,Almonds,Cheese
Dryness,veg,Spinach,Carbonated Drinks
Redness,combination,Egg Salad,Ice Cream
Whiteheads,combination,Greek Yogurt with Berries,Instant Noodles
Sunburn,vegen,Kale,Refined Oil
Acne,vegen,Tofu,Fried Tofu
Inflammation,combination,Tofu Stir Fry,Chips
Wrinkles,combination,Fish Curry with Rice,Cream Biscuits
Pores,combination,Fruit Yogurt,Cream Biscuits
Rosacea,vegen,Zucchini,Coconut Cream
Dullness,nonveg,Chicken Breast,Mayonnaise
Pores,vegen,Tofu,Fried Tofu
Uneven Skin Tone,nonveg,Prawns,Red Meat
Acne,veg,Almonds,Refined Sugar
Itchy Skin,nonveg,Yogurt,Bacon
Itchy Skin,combination,Mixed Nuts,Cream Biscuits
Pigmentation,nonveg,Oysters,Fried Fish
Redness,nonveg,Prawns,Mutton Curry
Pigmentation,vegen,Lentils,Vegan Mayo
Eczema,vegen,Chia Seeds,Refined Oil
Dryness,veg,Cucumber,Fried Potato
Itchy Skin,veg,Beetroot,Processed Juice
Dullness,combination,Baked Fish with Veggies,Excess Cheese
Oily Skin,nonveg,Salmon,Bacon
Inflammation,combination,Greek Yogurt with Berries,Instant Noodles
Oily Skin,combination,Fish Curry with Rice,Ice Cream
Uneven Skin Tone,combination,Fish Curry with Rice,Fried Chicken
Sunburn,nonveg,Turkey,Spicy Chicken
Tanning,vegen,Quinoa,Agave Syrup
Sagging,veg,Tomato,Fried Potato
Dark Circles,vegen,Quinoa,Agave Syrup
Whiteheads,vegen,Kale,White Sugar
Oily Skin,combination,Greek Yogurt with Berries,Fried Chicken
Dark Circles,veg,Sweet Potato,Creamy Curries
Dryness,combination,Chicken with Broccoli,Pizza
Sagging,veg,Spinach,Pickles
Wrinkles,veg,Broccoli,Pickles
Whiteheads,combination,Avocado Toast with Egg,Burger
Wrinkles,nonveg,Salmon,Fried Egg
Itchy Skin,combination,Fruit Yogurt,Sugary Drinks
Dullness,vegen,Oats,Vegan Mayo
Tanning,combination,Fish Curry with Rice,Ice Cream
Sagging,vegen,Lentils,Vegan Mayo
Sagging,vegen,Soy Milk,Refined Oil
Sagging,veg,Beetroot,Cheese
Blackheads,nonveg,Oysters,Fried Fish
Pigmentation,veg,Sweet Potato,Fried Potato
Tanning,nonveg,Eggs,Sausages
Sagging,veg,Turmeric Milk,Pickles
Rosacea,vegen,Soy Milk,Overprocessed Vegan Snacks
Tanning,vegen,Quinoa,Excess Soy
Tanning,nonveg,Bone Broth,Processed Meat
Itchy Skin,veg,Almonds,Butter
Rosacea,nonveg,Chicken Breast,Red Meat
Acne,nonveg,Turkey,Red Meat
Inflammation,veg,Cucumber,Fried Potato
Blackheads,vegen,Coconut Water,Refined Oil
Dark Spots,vegen,Hummus,Mock Meats
Blackheads,nonveg,Salmon,Mayonnaise
Dryness,nonveg,Yogurt,Butter Chicken
Whiteheads,nonveg,Liver,Mayonnaise
Dullness,vegen,Hummus,Overprocessed Vegan Snacks
Eczema,vegen,Quinoa,Refined Oil
Sagging,combination,Fruit Yogurt,Chips
Rosacea,combination,Baked Fish with Veggies,Sugary Drinks
Redness,vegen,Hummus,Coconut Cream
Whiteheads,veg,Turmeric Milk,Deep-Fried Snacks
Pigmentation,veg,Cucumber,Processed Juice
Whiteheads,vegen,Kale,Mock Meats
Pores,veg,Carrot,Carbonated Drinks
Dullness,combination,Fish Curry with Rice,Sugary Drinks
Dryness,nonveg,Liver,Spicy Chicken
Rosacea,nonveg,Salmon,Mutton Curry
Dark Circles,vegen,Lentils,Coconut Cream
Pigmentation,combination,Baked Fish with Veggies,Ice Cream
Blackheads,veg,Turmeric Milk,Fried Potato
Itchy Skin,combination,Egg Salad,Excess Cheese
Blackheads,combination,Chicken with Broccoli,Excess Cheese
Dark Spots,combination,Fish Curry with Rice,Sugary Drinks
Whiteheads,vegen,Hummus,Fried Tofu
Pores,veg,Beetroot,Cheese
Tanning,nonveg,Turkey,Fried Egg
Inflammation,veg,Carrot,Cheese
Sunburn,vegen,Hummus,Mock Meats
Sunburn,nonveg,Eggs,Mayonnaise
Redness,nonveg,Tuna,Bacon
Dark Circles,nonveg,Prawns,Processed Meat
Rosacea,nonveg,Prawns,Mutton Curry
Itchy Skin,nonveg,Tuna,Mayonnaise
Pigmentation,nonveg,Oysters,Fried Egg
Sunburn,veg,Carrot,Carbonated Drinks
Blackheads,vegen,Soy Milk,Refined Oil
Tanning,combination,Fish Curry with Rice,Ice Cream
Whiteheads,veg,Tomato,Creamy Curries
Acne,combination,Vegetable Soup,Ice Cream
Blackheads,nonveg,Chicken Breast,Butter Chicken
Dark Spots,nonveg,Prawns,Bacon
Pores,vegen,Chia Seeds,Overprocessed Vegan Snacks
Pores,vegen,Coconut Water,Refined Oil
Whiteheads,vegen,Oats,Fried Tofu
Wrinkles,combination,Chicken with Broccoli,Butter Paneer
Redness,vegen,Coconut Water,Refined Oil
Rosacea,combination,Mixed Nuts,Chips
Dullness,combination,Fish Curry with Rice,Burger
Pores,vegen,Coconut Water,Excess Soy
Itchy Skin,nonveg,Liver,Bacon
Acne,combination,Vegetable Soup,Sugary Drinks
Itchy Skin,nonveg,Bone Broth,Sausages
Dark Spots,combination,Tofu Stir Fry,Ice Cream
Whiteheads,nonveg,Prawns,Butter Chicken
Sunburn,veg,Tomato,Processed Juice
Itchy Skin,vegen,Coconut Water,Excess Soy
Sunburn,veg,Pumpkin Seeds,Fried Potato
Blackheads,nonveg,Chicken Breast,Fried Egg
Dark Spots,combination,Tofu Stir Fry,Excess Cheese
Pores,combination,Chicken with Broccoli,Pizza
Dark Circles,combination,Egg Salad,Excess Cheese
Redness,vegen,Coconut Water,Agave Syrup
Dryness,vegen,Kale,Excess Soy
Dullness,vegen,Hummus,Fried Tofu
Oily Skin,combination,Tofu Stir Fry,Cream Biscuits
Tanning,vegen,Oats,Overprocessed Vegan Snacks
Tanning,combination,Tofu Stir Fry,Burger
Acne,nonveg,Prawns,Processed Meat
Pigmentation,combination,Fish Curry with Rice,Butter Paneer
Rosacea,nonveg,Eggs,Fried Fish
Uneven Skin Tone,combination,Tofu Stir Fry,Excess Cheese
Blackheads,vegen,Lentils,Excess Soy
Inflammation,vegen,Oats,Mock Meats
Eczema,combination,Tofu Stir Fry,Chips
Eczema,combination,Egg Salad,Ice Cream
Tanning,combination,Mixed Nuts,Instant Noodles
Redness,combination,Avocado Toast with Egg,Chips
Sunburn,veg,Cucumber,Fried Potato
Dark Spots,vegen,Oats,Refined Oil
Dryness,nonveg,Chicken Breast,Red Meat
Dark Circles,vegen,Oats,Agave Syrup
Rosacea,nonveg,Eggs,Processed Meat
Rosacea,vegen,Oats,Overprocessed Vegan Snacks
Pigmentation,nonveg,Yogurt,Butter Chicken
Itchy Skin,combination,Tofu Stir Fry,Ice Cream
Eczema,veg,Almonds,Pickles
Acne,veg,Turmeric Milk,Refined Sugar
Dryness,veg,Broccoli,Deep-Fried Snacks
Dark Spots,vegen,Hummus,Refined Oil
Itchy Skin,nonveg,Eggs,Sausages
Dullness,combination,Baked Fish with Veggies,Fried Chicken
Inflammation,nonveg,Turkey,Butter Chicken
Pores,combination,Fruit Yogurt,Burger
Sagging,vegen,Soy Milk,Mock Meats
Acne,nonveg,Turkey,Fried Fish
Redness,combination,Mixed Nuts,Fried Chicken
Wrinkles,veg,Broccoli,Cheese
Sagging,nonveg,Yogurt,Sausages
Redness,combination,Fruit Yogurt,Butter Paneer
Sunburn,nonveg,Prawns,Mayonnaise
Tanning,veg,Pumpkin Seeds,White Bread
Dark Spots,veg,Pumpkin Seeds,Pickles
Redness,combination,Chicken with Broccoli,Fried Chicken
Sunburn,vegen,Coconut Water,Packaged Vegan Chips
Itchy Skin,vegen,Chia Seeds,Mock Meats
Dark Spots,nonveg,Turkey,Bacon
Blackheads,combination,Mixed Nuts,Pizza
Eczema,vegen,Coconut Water,Coconut Cream
Eczema,nonveg,Prawns,Red Meat
Rosacea,nonveg,Oysters,Red Meat
Dark Circles,nonveg,Salmon,Butter Chicken
Inflammation,vegen,Lentils,Agave Syrup
Eczema,nonveg,Yogurt,Mutton Curry
Dullness,nonveg,Oysters,Bacon
Dark Spots,vegen,Zucchini,Coconut Cream
Pigmentation,veg,Beetroot,Refined Sugar
Pores,vegen,Soy Milk,Excess Soy
Dark Spots,vegen,Chia Seeds,Refined Oil
Dark Spots,veg,Tomato,Cheese
Dullness,vegen,Zucchini,Packaged Vegan Chips
Rosacea,vegen,Soy Milk,Packaged Vegan Chips
Inflammation,veg,Tomato,Creamy Curries
Rosacea,combination,Baked Fish with Veggies,Instant Noodles
Itchy Skin,vegen,Zucchini,White Sugar
Oily Skin,vegen,Chia Seeds,Overprocessed Vegan Snacks
Pigmentation,veg,Pumpkin Seeds,Fried Potato
Blackheads,vegen,Quinoa,Coconut Cream
Tanning,vegen,Coconut Water,White Sugar
Inflammation,veg,Carrot,Butter
Wrinkles,combination,Greek Yogurt with Berries,Cream Biscuits
Blackheads,nonveg,Tuna,Processed Meat
Dark Circles,vegen,Hummus,Refined Oil
Wrinkles,nonveg,Prawns,Processed Meat
Uneven Skin Tone,veg,Carrot,White Bread
Inflammation,combination,Baked Fish with Veggies,Ice Cream
Dark Spots,veg,Spinach,Fried Potato
